its,load_time(us),get_time(us)
354,3333,45,14
355,3331,26,14
356,3551,56,14
357,3345,47,13
358,3333,27,15
359,3557,55,14
360,3332,46,15
361,3524,27,15
362,3371,56,14
363,3332,46,15
364,3512,30,16
365,3335,55,14
366,3339,27,13
367,3517,58,13
368,3331,45,15
369,3553,27,13
370,3327,51,13
371,3347,48,14
372,3501,31,15
373,3330,55,15
374,3330,34,12
375,3496,36,15
376,3342,48,14
377,3502,45,13
378,3325,25,13
379,3329,43,13
380,3644,49,14
381,3295,26,13
382,3297,31,28
383,3598,47,15
384,3283,24,13
385,3731,42,13
386,3251,25,13
387,3285,41,13
388,3813,50,13
389,3285,25,14
390,3325,43,13
391,3847,56,14
392,3330,26,14
393,3593,31,11
394,3513,49,14
395,3342,25,14
396,3718,51,13
397,3328,48,14
398,3331,26,14
399,3762,50,14
400,3300,45,14
401,3454,22,12
402,3477,52,13
403,3400,25,12
404,3745,60,14
405,3840,60,15
406,4524,21,12
407,4546,65,15
408,3668,46,23
409,3739,34,13
410,3330,47,14
411,3448,36,13
412,3405,24,12
413,3325,44,13
414,3504,44,15
415,3332,24,12
416,3331,42,14
417,3502,46,13
418,3331,24,13
419,3490,44,13
420,3334,45,14
421,3324,26,14
422,3509,49,14
423,3346,25,13
424,3333,35,15
425,3478,52,14
426,3330,26,13
427,3547,50,14
428,3333,45,14
429,3327,26,13
430,3502,59,14
431,3340,45,13
432,3331,21,12
433,3438,57,14
434,3330,45,13
435,3547,28,15
436,3345,51,14
437,3342,46,14
438,3559,29,15
439,3333,49,14
440,3388,21,12
441,3438,52,14
442,3330,48,14
443,3490,27,14
444,3331,49,14
445,3330,40,15
446,3535,31,13
447,3331,51,13
448,3414,33,12
449,3437,26,14
450,3360,51,15
451,3484,63,19
452,3331,27,14
453,3330,45,15
454,3485,52,14
455,3340,26,13
456,3391,30,11
457,3429,51,13
458,3329,26,14
459,3646,50,13
460,3339,26,15
461,3331,46,14
462,3759,60,14
463,3325,28,13
464,3393,35,12
465,3425,49,13
466,3343,25,11
467,3537,51,13
468,3336,49,13
469,3338,24,15
470,3499,53,14
471,3324,45,14
472,5029,31,14
473,3356,56,14
474,3336,47,14
475,4643,73,22
476,4589,108,20
477,4599,48,18
478,4583,96,101
479,4746,78,19
480,4581,39,19
481,4730,93,20
482,4577,71,18
483,4857,38,17
484,3505,67,14
485,3732,67,15
486,3332,26,15
487,3331,46,14
488,3675,54,15
489,3339,25,14
490,3527,41,12
491,3583,52,15
