1000,0
2000,2
3000,3
4000,0
5000,1
6000,0
7000,3
8000,1
9000,4
10000,0
11000,1
12000,0
13000,1
14000,0
15000,1
16000,2
17000,2
18000,0
19000,0
20000,2
21000,1
22000,2
23000,1
24000,1
25000,1
26000,1
27000,0
28000,2
29000,2
30000,0
31000,2
32000,2
33000,1
34000,59
35000,71
36000,85
37000,123
38000,153
39000,212
40000,177
41000,294
42000,292
43000,360
44000,364
45000,420
46000,328
47000,422
48000,586
49000,461
50000,587
51000,711
52000,723
53000,627
54000,625
55000,688
56000,737
57000,617
58000,831
59000,1083
60000,1049
61000,1024
62000,1098
63000,917
64000,850
65000,1070
66000,924
67000,1203
68000,1408
69000,1192
70000,1519
71000,1548
72000,1286
73000,1089
74000,1227
75000,1143
76000,1708
77000,1443
78000,1548
79000,1279
80000,1099
81000,1071
82000,1372
83000,1518
84000,1523
85000,1228
86000,1286
87000,1662
88000,1521
89000,1520
90000,1808
91000,1282
92000,1778
93000,1482
94000,1565
95000,1530
96000,1500
97000,1407
98000,1692
99000,1710
100000,1662
